employee_id,employee_super_region,year_nbr,month_nbr,active_days,interactions_count,pitches_count,wins_count,,,,
24775,\N,2020,5,5,6,\N,\N,,,,
24775,\N,2020,6,22,202,418,98,,,,
24775,\N,2020,7,18,146,356,55,,,,
24775,\N,2020,8,16,131,271,57,,,,
24775,\N,2020,9,22,163,287,60,,,,
25028,APAC,2020,6,12,38,38,14,,,,
25028,APAC,2020,7,12,36,36,14,,,,
25028,APAC,2020,8,6,14,14,6,,,,
25028,APAC,2020,10,15,34,34,13,,,,
25551,LATAM,2020,5,1,1,\N,\N,,,,
25551,LATAM,2020,6,12,98,311,60,,,,
25551,LATAM,2020,7,14,87,222,56,,,,
25551,LATAM,2020,8,11,81,225,85,,,,
25551,LATAM,2020,9,17,126,361,166,,,,
25551,LATAM,2020,10,15,68,215,74,,,,
25551,LATAM,2020,11,13,64,221,88,,,,
25551,LATAM,2020,12,10,44,138,50,,,,
25651,APAC,2020,6,3,4,9,0,,,,
25651,APAC,2020,7,5,11,20,8,,,,
25651,APAC,2020,8,2,3,9,3,,,,
25772,APAC,2020,6,1,1,1,1,,,,
25772,APAC,2020,10,1,1,2,1,,,,
26127,APAC,2020,5,3,6,\N,\N,,,,
26127,APAC,2020,6,15,137,259,56,,,,
26127,APAC,2020,7,12,62,164,35,,,,
26127,APAC,2020,8,9,62,168,48,,,,
26127,APAC,2020,9,18,130,323,69,,,,
26127,APAC,2020,10,17,129,367,60,,,,
26127,APAC,2020,11,16,151,353,81,,,,
26127,APAC,2020,12,13,87,197,28,,,,
26129,APAC,2020,6,17,180,296,83,,,,
26129,APAC,2020,7,5,45,94,25,,,,
26129,APAC,2020,8,17,176,477,122,,,,
26129,APAC,2020,9,21,177,519,113,,,,
26129,APAC,2020,10,16,121,407,89,,,,
26129,APAC,2020,11,21,156,450,88,,,,
26129,APAC,2020,12,9,76,231,40,,,,
26191,\N,2020,7,4,16,13,5,,,,
26191,\N,2020,8,6,22,33,16,,,,
26191,\N,2020,9,9,30,47,12,,,,
26191,\N,2020,10,14,50,122,21,,,,
26191,\N,2020,11,3,15,34,14,,,,
26246,APAC,2020,6,1,1,1,0,,,,
26246,APAC,2020,7,3,21,27,4,,,,
26246,APAC,2020,8,3,11,20,5,,,,
26246,APAC,2020,9,3,12,19,2,,,,
